Pre0-Post1	Name	Broketrodes	Hello	TOVA	Vigilance	Saliency	Goodbye
1	1057		A26, B29, C14, D1, D16	A26, A27, B29, C8, C14, D1, D16, D23	A26, B29, C14, D1, D16	A10, A11, B29, C14, C8, D1, D16, D23	A10
1	1058	B3, B11, B27, D1		D4	D4, A11	D4	D4
1	1059	C1, C3, D1, D32, B7	B7, C1, C3, D1, D32	B7, B26, C1, C3, C30, D1, D23, D32	B7, B24, B25, B26, B27, B28, B29, B30, C4, C5, C6, C7, D1, D3, D32	B7, B26, C1, C3, C4, C5, C6, C7, C8, C9, C10, D1, D23, D32	A26, B26, C1, C3, D1, D32, D23
1	1060	B1, C1, C3, D20	A12, A26, C29	A12, A26, C29	A12, A26, C29	A12, A26,C29	A12, A26, C29
1	1061	B1, B3, B18, C11, C7, D14, D26		B1, B3, B18, B25, B26, C3, C6, C7, C11, C30, C31, D14, D23, D24, D26	B1, B2, B3, B18, C3, C7, C11, D14, D26	B1, B3, B18, C3, C5, C6, C7, C11, C27, D9, D10, D14, D23, D26	B1, B3, B18, C3, C6, C7, C11, D14, D23, D26
1	1062	D1, D3		B26			
1	1063	A26, B3, B11, B27, C14, D29	A26, B3, B11, B27, C14, D29	A26, B3, B11, B27, C14, D29	A26, B3, B11, B27, C14, D29	A26, B3, B11, B27, C8, C14, C16, C29, D29	A26, B3, B11, B27, C8, C14, C16, C29, D29
1	1064	C1, D32				B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, C3, C4, C5, C6, C7, C8, C9, C10, D4, D5, D6, D7, D8, D9, D10, D11, D12, D20, D21, D22, D23, D24, D25, D26, D27	
1	1065	B24, B28, C1, C3, C32, D1		A26		B15, D8	B15, B24
1	1066	C1, D3, D32, B3, B11			A6, A16	A16, B3, B27, D3	D1
1	1067	B3, B11, C1, C18, D3	B22	B22	B22	B22	B22
1	1068	B1, B19, B23, B25, B30, C14, D29		C6, C8, C9		B10, B27, B26, C5, C6, C7, C8, C9, C16, C29, C30, C31	
1	1069		A12, B3, B7, C1, C3, C18, C32, D1, D3, D7, D10	A12, B3, B7, C1, C3, C18, C32, D1, D3, D7, D10	A12, B3, B7, C1, C3, C18, C32, D1, D3, D7, D10	A12, B3, B7, C1, C3, C32, C18, D1, D3, D7, D10	
1	1070	C3, C11, C27, D1, D16, A26, B29	A26, B29, C3, C11, C27, D1, D16	A26, B29, C3, C11, C27, D1, D16	A26, B29, C3, C11, C27, D1, D16	A26, B29, C3, C11, C27, D1, D16	A26, B29, C3, C11, C27, D1, D16
1	1073	A26, B11, B27, C29, D1, D16	A26, B11, B27, C29, D1, D16	A26, B11, B27, C29, D1, D16	A26, B11, B27, C29, D1, D16	A26, B11, B27, C16, C29, D1, D16, D25, D23	A26, B11, B27, C29, D1, D16
1	1074		A26, B4, B29, C1, C32, D1, D16	A26, B4, B12, B29, C1, C32, D1, D16	A26, B4, B12, B29, C1, C32, D1, D16	A26, B4, B12, B29, C1, C32, D1, D16	A26, B4, B12, B29, C1, C32, D1, D16
1	1075	B29, C14, D1, D3, D16	A26, A27, C16, C29, C30, C31, D1	A26, B6, B7, B8, B9, B10, B26, C7, C8, C9, C10, C15, C14, C16, C29, C30, C31, D8	A26	A26, A27, B8, B9, B26, C7, C8, C16, C29, C30, C31, D8, D9	A26
1	1076	A15, C1, C25, C30, D1, D3	C23	C23		C23, D23	C23, D23
1	1078		A8, A13, A15, A20, A22, A23, A27, A28, B3, B22, C23	A8, A13, A15, A20, A22, A23, A28, B3, C8, C23, D5, D6, D7, D23	A8, A13, A15, A20, A22, A23, A28, B3, C23, D23	A8, A15, A16, A20, A22, A23, B3, B22, C23, C8, D5, D7, D23	A8, A13, A15, A16, A20, A22, A23, B3, C23
1	1079	B11, B27, C1, D3, D32					
